"effect_modifiers","method","Mean_Bias","Mean_RMSE","Mean_Coverage"
"none","Bucher",-0.0167914237786561,0.337325312488512,0.950055555555556
"none","EbEL",-0.0230838535593768,0.566194945721788,0.916944444444444
"none","SigTotal",-0.0245383970483485,0.437641920970909,0.941277777777778
"none","EbTotal",-0.0245383970506501,0.437641920974967,0.941277777777778
"none","EbArm",-0.0393852737555144,1.01401036701836,0.941388888888889
"one","EbTotal",-0.0344646780119331,0.439524007524035,0.943444444444444
"one","SigTotal",-0.0344646780159453,0.439524007520079,0.943444444444444
"one","EbEL",-0.0437316531854112,0.56169553434354,0.918666666666667
"one","EbArm",-0.0617600953232324,0.972857846217434,0.944222222222222
"one","Bucher",-0.166597564132883,0.384927661763243,0.908444444444444
"two","SigTotal",-0.0314992235906041,0.431982868981559,0.9445
"two","EbTotal",-0.0314992235916314,0.431982868981203,0.9445
"two","EbArm",-0.0394637678358553,1.07799689205765,0.942833333333333
"two","EbEL",-0.0423162693756551,0.557027654707392,0.916888888888889
"two","Bucher",-0.206427073662816,0.405176444276722,0.889444444444444
